CDHOUSE,CDASSIST,CDHELP,CDSOCIAL,CDDISCUS,CPROB1,CPROB2,CPROB3,C
1,*,*,1,1,0,0.112,0.888,3
1,*,*,2,0,0.002,0.141,0.856,3
1,*,*,2,1,0.009,0.187,0.804,3
1,*,*,3,0,0.01,0.39,0.6,3
1,*,*,3,1,0.034,0.462,0.504,3
1,*,*,4,0,0.085,0.211,0.704,3
1,*,*,4,1,0.253,0.222,0.525,3
1,*,*,*,0,0.018,0.172,0.81,3
1,*,*,*,1,0.064,0.215,0.721,3
1,*,*,*,*,0.037,0.19,0.774,3
2,0,0,0,0,0,0,1,3
2,0,0,0,1,0,0,1,3
2,0,0,0,*,0,0,1,3
2,0,0,1,0,0,0,1,3
2,0,0,1,1,0,0,1,3
2,0,0,1,*,0,0,1,3
2,0,0,2,0,0,0,1,3
2,0,0,2,1,0,0,1,3
2,0,0,3,0,0,0,1,3
2,0,0,3,1,0,0,1,3
2,0,0,3,*,0,0,1,3
2,0,0,4,0,0,0,1,3
2,0,0,4,1,0,0,1,3
2,0,0,4,*,0,0,1,3
2,0,0,*,0,0,0,1,3
2,0,0,*,1,0,0,1,3
2,0,0,*,*,0,0,1,3
2,0,1,0,0,0,0,1,3
2,0,1,0,1,0,0,1,3
2,0,1,1,0,0,0,1,3
2,0,1,1,1,0,0,1,3
2,0,1,1,*,0,0,1,3
2,0,1,2,0,0,0,1,3
2,0,1,2,1,0,0,1,3
2,0,1,3,0,0,0,1,3
2,0,1,3,1,0,0,1,3
2,0,1,4,0,0,0,1,3
2,0,1,4,1,0,0,1,3
2,0,1,*,0,0,0,1,3
2,0,2,0,0,0,0,1,3
2,0,2,0,1,0,0,1,3
2,0,2,1,0,0,0,1,3
2,0,2,1,1,0,0,1,3
2,0,2,1,*,0,0,1,3
2,0,2,2,0,0,0,1,3
2,0,2,2,1,0,0,1,3
2,0,2,2,*,0,0,1,3
2,0,2,3,0,0,0,1,3
2,0,2,3,1,0,0,1,3
2,0,2,4,0,0,0,1,3
2,0,2,4,1,0,0,1,3
2,0,2,*,0,0,0,1,3
2,0,2,*,1,0,0,1,3
2,0,3,0,0,0,0,1,3
2,0,3,0,1,0,0,1,3
2,0,3,0,*,0,0,1,3
2,0,3,1,0,0,0,1,3
2,0,3,1,1,0,0,1,3
2,0,3,2,0,0,0,1,3
2,0,3,2,1,0,0,1,3
2,0,3,3,0,0,0,1,3
2,0,3,3,1,0,0,1,3
2,0,3,4,0,0,0,1,3
2,0,3,4,1,0,0,1,3
2,0,3,*,1,0,0,1,3
2,0,4,0,0,0,0,1,3
2,0,4,0,1,0,0,1,3
2,0,4,1,0,0,0,1,3
2,0,4,1,1,0,0,1,3
2,0,4,2,0,0,0,1,3
2,0,4,2,1,0.002,0,0.998,3
2,0,4,3,1,0.01,0,0.99,3
2,0,4,4,0,0.018,0,0.982,3
2,0,4,4,1,0.068,0,0.932,3
2,0,4,*,0,0.003,0,0.997,3
2,0,*,2,0,0,0,1,3
2,0,*,3,1,0.001,0,0.999,3
2,0,*,4,0,0.001,0,0.999,3
2,0,*,*,*,0,0,1,3
2,1,0,0,0,0,0,1,3
2,1,0,0,1,0,0,1,3
2,1,0,1,0,0,0,1,3
2,1,0,1,1,0,0,1,3
2,1,0,2,0,0,0,1,3
2,1,0,2,1,0,0,1,3
2,1,0,3,0,0,0,1,3
2,1,0,3,1,0,0,1,3
2,1,0,4,0,0,0,1,3
2,1,0,4,1,0,0,1,3
2,1,0,4,*,0,0,1,3
2,1,0,*,0,0,0,1,3
2,1,0,*,1,0,0,1,3
2,1,1,0,0,0,0,1,3
2,1,1,0,1,0,0,1,3
2,1,1,0,*,0,0,1,3
2,1,1,1,0,0,0,1,3
2,1,1,1,1,0,0,1,3
2,1,1,1,*,0,0,1,3
2,1,1,2,0,0,0,1,3
2,1,1,2,1,0,0,1,3
2,1,1,3,0,0,0,1,3
2,1,1,3,1,0,0,1,3
2,1,1,4,0,0,0,1,3
2,1,1,4,1,0,0,1,3
2,1,1,*,0,0,0,1,3
2,1,1,*,1,0,0,1,3
2,1,2,0,0,0,0,1,3
2,1,2,0,1,0,0,1,3
2,1,2,1,0,0,0,1,3
2,1,2,1,1,0,0,1,3
2,1,2,1,*,0,0,1,3
2,1,2,2,0,0,0,1,3
2,1,2,2,1,0,0,1,3
2,1,2,3,0,0,0,1,3
2,1,2,3,1,0,0,1,3
2,1,2,4,0,0,0,1,3
2,1,2,4,1,0,0,1,3
2,1,2,*,0,0,0,1,3
2,1,2,*,1,0,0,1,3
2,1,3,0,0,0,0,1,3
2,1,3,0,1,0,0,1,3
2,1,3,1,0,0,0,1,3
2,1,3,1,1,0,0,1,3
2,1,3,2,0,0,0,1,3
2,1,3,2,1,0,0,1,3
2,1,3,3,0,0,0,1,3
2,1,3,3,1,0,0,1,3
2,1,3,3,*,0,0,1,3
2,1,3,4,0,0,0,1,3
2,1,3,4,1,0,0,1,3
2,1,3,*,0,0,0,1,3
2,1,4,0,0,0,0,1,3
2,1,4,0,1,0,0,1,3
2,1,4,1,0,0,0,1,3
2,1,4,1,1,0,0,1,3
2,1,4,2,0,0.001,0,0.999,3
2,1,4,2,1,0.002,0,0.998,3
2,1,4,3,1,0.015,0,0.985,3
2,1,4,4,0,0.026,0,0.974,3
2,1,4,4,1,0.098,0,0.902,3
2,1,4,4,*,0.055,0,0.945,3
2,1,4,*,1,0.02,0,0.98,3
2,1,*,3,1,0.001,0,0.999,3
2,1,*,*,0,0,0,1,3
2,1,*,*,*,0.001,0,0.999,3
2,2,0,0,0,0,0,1,3
2,2,0,0,1,0,0,1,3
2,2,0,0,*,0,0,1,3
2,2,0,1,0,0,0,1,3
2,2,0,1,1,0,0,1,3
2,2,0,2,0,0,0,1,3
2,2,0,2,1,0,0,1,3
2,2,0,2,*,0,0,1,3
2,2,0,3,0,0,0,1,3
2,2,0,3,1,0,0,1,3
2,2,0,3,*,0,0,1,3
2,2,0,4,0,0,0,1,3
2,2,0,4,1,0,0,1,3
2,2,0,4,*,0,0,1,3
2,2,0,*,0,0,0,1,3
2,2,0,*,1,0,0,1,3
2,2,0,*,*,0,0,1,3
2,2,1,0,0,0,0,1,3
2,2,1,0,1,0,0,1,3
2,2,1,1,0,0,0,1,3
2,2,1,1,1,0,0,1,3
2,2,1,1,*,0,0,1,3
2,2,1,2,0,0,0,1,3
2,2,1,2,1,0,0,1,3
2,2,1,2,*,0,0,1,3
2,2,1,3,0,0,0,1,3
2,2,1,3,1,0,0,1,3
2,2,1,3,*,0,0,1,3
2,2,1,4,0,0,0,1,3
2,2,1,4,1,0,0,1,3
2,2,1,4,*,0,0,1,3
2,2,1,*,0,0,0,1,3
2,2,1,*,1,0,0,1,3
2,2,1,*,*,0,0,1,3
2,2,2,0,0,0,0,1,3
2,2,2,0,1,0,0,1,3
2,2,2,0,*,0,0,1,3
2,2,2,1,0,0,0,1,3
2,2,2,1,1,0,0,1,3
2,2,2,2,0,0,0,1,3
2,2,2,2,1,0,0,1,3
2,2,2,2,*,0,0,1,3
2,2,2,3,0,0,0,1,3
2,2,2,3,1,0,0,1,3
2,2,2,3,*,0,0,1,3
2,2,2,4,0,0,0,1,3
2,2,2,4,1,0,0,1,3
2,2,2,4,*,0,0,1,3
2,2,2,*,0,0,0,1,3
2,2,2,*,1,0,0,1,3
2,2,2,*,*,0,0,1,3
2,2,3,0,0,0,0,1,3
2,2,3,0,1,0,0,1,3
2,2,3,1,0,0,0,1,3
2,2,3,1,1,0,0,1,3
2,2,3,1,*,0,0,1,3
2,2,3,2,0,0,0,1,3
2,2,3,2,1,0,0,1,3
2,2,3,2,*,0,0,1,3
2,2,3,3,0,0,0,1,3
2,2,3,3,1,0,0,1,3
2,2,3,4,0,0,0,1,3
2,2,3,4,1,0,0,1,3
2,2,3,4,*,0,0,1,3
2,2,3,*,0,0,0,1,3
2,2,3,*,1,0,0,1,3
2,2,3,*,*,0,0,1,3
2,2,4,0,0,0,0.011,0.988,3
2,2,4,0,1,0,0.016,0.984,3
2,2,4,0,*,0,0.013,0.987,3
2,2,4,1,0,0,0.016,0.984,3
2,2,4,1,1,0,0.023,0.977,3
2,2,4,1,*,0,0.019,0.981,3
2,2,4,2,0,0.001,0.029,0.97,3
2,2,4,2,1,0.003,0.041,0.956,3
2,2,4,2,*,0.001,0.034,0.965,3
2,2,4,3,0,0.004,0.106,0.89,3
2,2,4,3,1,0.014,0.142,0.844,3
2,2,4,4,0,0.028,0.051,0.922,3
2,2,4,4,1,0.1,0.065,0.835,3
2,2,4,*,0,0.005,0.037,0.957,3
2,2,4,*,1,0.02,0.051,0.929,3
2,2,*,0,0,0,0.001,0.999,3
2,2,*,0,1,0,0.001,0.999,3
2,2,*,0,*,0,0.001,0.999,3
2,2,*,1,0,0,0.001,0.999,3
2,2,*,2,0,0,0.002,0.998,3
2,2,*,2,1,0,0.002,0.997,3
2,2,*,3,0,0,0.007,0.993,3
2,2,*,3,1,0.001,0.009,0.99,3
2,2,*,4,0,0.002,0.003,0.995,3
2,2,*,4,1,0.007,0.004,0.989,3
2,2,*,*,*,0.001,0.003,0.997,3
2,3,4,0,0,0.001,0.999,0,2
2,3,4,0,1,0.003,0.997,0,2
2,3,4,1,0,0,1,0,2
2,3,4,1,1,0,1,0,2
2,3,4,2,0,0.003,0.997,0,2
2,3,4,2,1,0.008,0.992,0,2
2,3,4,2,*,0.005,0.995,0,2
2,3,4,3,0,0.004,0.996,0,2
2,3,4,3,1,0.012,0.988,0,2
2,3,4,3,*,0.008,0.992,0,2
2,3,4,4,0,0.064,0.936,0,2
2,3,4,4,1,0.163,0.837,0,2
2,3,4,4,*,0.113,0.887,0,2
2,3,4,*,0,0.018,0.982,0,2
2,3,4,*,1,0.048,0.952,0,2
2,3,4,*,*,0.032,0.968,0,2
2,4,4,0,0,0.021,0.979,0,2
2,4,4,0,1,0.056,0.944,0,2
2,4,4,0,*,0.038,0.962,0,2
2,4,4,1,0,0.003,0.997,0,2
2,4,4,1,1,0.008,0.992,0,2
2,4,4,2,0,0.054,0.946,0,2
2,4,4,2,1,0.14,0.86,0,2
2,4,4,2,*,0.096,0.904,0,2
2,4,4,3,0,0.083,0.917,0,2
2,4,4,3,1,0.204,0.796,0,2
2,4,4,3,*,0.143,0.857,0,2
